"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2014,3,9,3,3,2014-09-03,"AA",19805,"AA","N3LNAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0719",-6.00,0.00,0.00,-1,"0700-0759",10.00,"0729","0810",8.00,"0835","0818",-17.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,70.00,59.00,41.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,4,4,2014-09-04,"AA",19805,"AA","N3KLAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0718",-7.00,0.00,0.00,-1,"0700-0759",14.00,"0732","0815",18.00,"0835","0833",-2.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,75.00,43.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,5,5,2014-09-05,"AA",19805,"AA","N3LHAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0720",-5.00,0.00,0.00,-1,"0700-0759",9.00,"0729","0808",14.00,"0835","0822",-13.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,62.00,39.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,6,6,2014-09-06,"AA",19805,"AA","N3ABAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0717",-8.00,0.00,0.00,-1,"0700-0759",12.00,"0729","0812",5.00,"0835","0817",-18.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,70.00,60.00,43.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,7,7,2014-09-07,"AA",19805,"AA","N3JCAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0736",11.00,11.00,0.00,0,"0700-0759",43.00,"0819","0859",7.00,"0835","0906",31.00,31.00,1.00,2,"0800-0859",0.00,"",0.00,70.00,90.00,40.00,1.00,236.00,1,11.00,0.00,20.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,8,1,2014-09-08,"AA",19805,"AA","N3EXAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0717",-8.00,0.00,0.00,-1,"0700-0759",11.00,"0728","0808",6.00,"0835","0814",-21.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,70.00,57.00,40.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,9,2,2014-09-09,"AA",19805,"AA","N3JSAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0720",-5.00,0.00,0.00,-1,"0700-0759",18.00,"0738","0820",5.00,"0835","0825",-10.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,65.00,42.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,10,3,2014-09-10,"AA",19805,"AA","N3DSAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0719",-6.00,0.00,0.00,-1,"0700-0759",9.00,"0728","0806",16.00,"0835","0822",-13.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,63.00,38.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,11,4,2014-09-11,"AA",19805,"AA","N3BAAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0721",-4.00,0.00,0.00,-1,"0700-0759",18.00,"0739","0822",6.00,"0835","0828",-7.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,67.00,43.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,12,5,2014-09-12,"AA",19805,"AA","N3JDAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0716",-9.00,0.00,0.00,-1,"0700-0759",14.00,"0730","0809",7.00,"0835","0816",-19.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,70.00,60.00,39.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
